epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,105.867,0.87782,1.52178,0.90424,0.00458,1,0.00794,0.00598,0.86401,3.49508,0.87551,0.000252304,0.000252304,0.000252304
28,110.002,1.05816,1.66791,0.92344,0.00458,1,0.00794,0.00598,0.86401,3.49508,0.87551,0.000251316,0.000251316,0.000251316
29,113.33,1.10033,2.404,1.05497,0.00458,1,0.00768,0.0058,0.86582,3.54343,0.88892,0.000249536,0.000249536,0.000249536
30,117.173,1.16815,2.02748,1.04809,0.00458,1,0.00768,0.0058,0.86582,3.54343,0.88892,0.000246964,0.000246964,0.000246964
31,121.377,0.99612,1.77248,0.90606,0.00458,1,0.00738,0.00566,0.89318,3.57572,0.90147,0.0002436,0.0002436,0.0002436
32,124.878,0.98345,1.50613,0.93151,0.00458,1,0.00738,0.00566,0.89318,3.57572,0.90147,0.000239444,0.000239444,0.000239444
33,128.344,1.10142,2.2069,1.03931,0.00458,1,0.00693,0.00541,0.87668,3.58076,0.90185,0.000234496,0.000234496,0.000234496
34,131.606,0.99265,1.61316,0.91204,0.00458,1,0.00693,0.00541,0.87668,3.58076,0.90185,0.000228756,0.000228756,0.000228756
35,135.027,1.00675,1.60966,0.88118,0.00458,1,0.01025,0.00852,0.82612,3.57879,0.89451,0.000222224,0.000222224,0.000222224
36,138.306,0.94561,1.49576,0.90743,0.00458,1,0.01025,0.00852,0.82612,3.57879,0.89451,0.0002149,0.0002149,0.0002149
37,141.684,1.09279,1.58618,0.91264,0.00458,1,0.02642,0.02467,0.81374,3.53218,0.88684,0.000206784,0.000206784,0.000206784
38,145.01,0.77512,1.27953,0.79475,0.00458,1,0.02642,0.02467,0.81374,3.53218,0.88684,0.000197876,0.000197876,0.000197876
39,148.288,0.84963,1.45511,0.86313,0.00458,1,0.19122,0.15958,0.8195,3.47714,0.88624,0.000188176,0.000188176,0.000188176
40,151.617,0.89625,1.42746,0.95447,0.00458,1,0.19122,0.15958,0.8195,3.47714,0.88624,0.000177684,0.000177684,0.000177684
41,155.313,0.79202,1.49917,0.84065,0.00458,1,0.23108,0.19492,0.80836,3.42648,0.87893,0.0001664,0.0001664,0.0001664
42,158.896,0.80362,1.48209,0.8681,0.00458,1,0.23108,0.19492,0.80836,3.42648,0.87893,0.000154324,0.000154324,0.000154324
43,162.359,0.71314,1.30968,0.84136,0.00458,1,0.23113,0.18681,0.78365,3.3948,0.86719,0.000141456,0.000141456,0.000141456
44,165.679,0.80991,1.36008,0.88274,0.00458,1,0.23113,0.18681,0.78365,3.3948,0.86719,0.000127796,0.000127796,0.000127796
45,169.013,0.73649,1.26701,0.88154,0.00458,1,0.21738,0.18412,0.76583,3.36563,0.85752,0.000113344,0.000113344,0.000113344
46,172.79,0.70636,1.27668,0.8759,0.00458,1,0.21738,0.18412,0.76583,3.36563,0.85752,9.81e-05,9.81e-05,9.81e-05
47,176.052,0.8567,1.36029,0.8482,0.00458,1,0.22928,0.19132,0.76911,3.32691,0.85168,8.2064e-05,8.2064e-05,8.2064e-05
48,179.338,0.70855,1.28753,0.88353,0.00458,1,0.22928,0.19132,0.76911,3.32691,0.85168,6.5236e-05,6.5236e-05,6.5236e-05
49,182.68,0.78655,1.36062,0.86966,0.00458,1,0.28378,0.23234,0.77574,3.27958,0.84775,4.7616e-05,4.7616e-05,4.7616e-05
50,186.226,0.8977,1.44526,0.91109,0.00458,1,0.28378,0.23234,0.77574,3.27958,0.84775,2.9204e-05,2.9204e-05,2.9204e-05
