epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51492,2.6993,4.66165,1.87549,0.00042,0.09091,0.00024,0.00012,2.05731,4.57749,1.81986,0,0,0
2,16.1368,2.51944,4.61993,2.20541,0.00042,0.09091,0.00025,0.00012,2.04764,4.54392,1.80353,1.9604e-05,1.9604e-05,1.9604e-05
3,21.221,2.22694,4.31014,1.79458,0.00083,0.18182,0.0005,0.00023,2.05173,4.54959,1.78112,3.8416e-05,3.8416e-05,3.8416e-05
4,25.1199,2.30811,4.47016,1.77458,0.00125,0.27273,0.00082,0.00027,2.00856,4.52305,1.71893,5.6436e-05,5.6436e-05,5.6436e-05
5,29.4111,2.32359,4.34509,1.77214,0.00167,0.36364,0.00116,0.00047,1.8856,4.48684,1.5775,7.3664e-05,7.3664e-05,7.3664e-05
6,32.6803,2.16652,4.16502,1.54227,0.00292,0.63636,0.0027,0.00117,1.74851,4.47633,1.38567,9.01e-05,9.01e-05,9.01e-05
7,36.2448,2.16106,4.16488,1.53203,0.00417,0.90909,0.00658,0.00321,1.5383,4.43461,1.22016,0.000105744,0.000105744,0.000105744
8,39.8312,1.83199,3.90279,1.36471,0.00458,1,0.00799,0.0043,1.39578,4.27109,1.09628,0.000120596,0.000120596,0.000120596
9,43.1744,1.58615,3.87135,1.22054,0.00458,1,0.00832,0.00552,1.23125,4.05035,1.00999,0.000134656,0.000134656,0.000134656
10,46.4714,1.48513,3.77883,1.20546,0.00458,1,0.00825,0.00557,1.13463,3.95418,0.97879,0.000147924,0.000147924,0.000147924
11,49.7814,1.3757,3.59028,1.27093,0.00458,1,0.00794,0.00538,1.08607,3.88518,0.95718,0.0001604,0.0001604,0.0001604
12,53.2114,1.4447,4.38444,1.23219,0.00458,1,0.00755,0.00512,1.09393,3.83961,0.94453,0.000172084,0.000172084,0.000172084
13,56.4946,1.43607,3.74087,1.16229,0.00458,1,0.00756,0.00526,1.05566,3.82026,0.93185,0.000182976,0.000182976,0.000182976
14,59.854,1.23226,2.84316,1.01736,0.00458,1,0.00739,0.00504,1.04139,3.76064,0.92103,0.000193076,0.000193076,0.000193076
15,63.1717,1.49898,2.83587,1.12595,0.00458,1,0.00736,0.00497,1.01494,3.74348,0.91825,0.000202384,0.000202384,0.000202384
16,66.6121,1.41317,2.75896,1.11254,0.00458,1,0.00729,0.00488,1.0443,3.68589,0.93407,0.0002109,0.0002109,0.0002109
17,69.8991,1.27828,2.37549,1.02996,0.00458,1,0.0075,0.00517,1.0734,3.6009,0.94159,0.000218624,0.000218624,0.000218624
18,73.1462,1.15605,2.35001,1.03795,0.00458,1,0.0075,0.00517,1.0734,3.6009,0.94159,0.000225556,0.000225556,0.000225556
19,76.4343,1.07315,2.00213,1.00478,0.00458,1,0.20691,0.16295,1.05766,3.53539,0.92607,0.000231696,0.000231696,0.000231696
20,79.7125,1.17976,2.56346,1.0681,0.00458,1,0.20691,0.16295,1.05766,3.53539,0.92607,0.000237044,0.000237044,0.000237044
21,83.4419,1.04763,1.82245,0.95614,0.00458,1,0.42947,0.34661,0.98179,3.50973,0.89357,0.0002416,0.0002416,0.0002416
22,87.1856,0.96786,1.61614,0.9584,0.00458,1,0.42947,0.34661,0.98179,3.50973,0.89357,0.000245364,0.000245364,0.000245364
23,90.91,1.15764,1.70792,0.9985,0.00458,1,0.29646,0.24643,0.9205,3.47375,0.87599,0.000248336,0.000248336,0.000248336
24,94.5099,0.99253,1.96135,1.02062,0.00458,1,0.29646,0.24643,0.9205,3.47375,0.87599,0.000250516,0.000250516,0.000250516
25,98.0669,0.89803,2.89708,1.07931,0.00458,1,0.05294,0.04398,0.88153,3.45601,0.87164,0.000251904,0.000251904,0.000251904
26,101.851,1.02696,2.15951,0.89208,0.00458,1,0.05294,0.04398,0.88153,3.45601,0.87164,0.0002525,0.0002525,0.0002525
